trial_number,mean_macro_f1,mean_balanced_accuracy,std_macro_f1,std_balanced_accuracy,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,objective,num_class,eval_metric,tree_method,random_state,n_jobs,verbosity
14,0.9685745853615715,0.962760254992467,0.00016390105779555164,0.0004697365069674773,700,8,0.04681156628944317,0.7999999999999999,0.65,3,0.1,0.1,1.616548546898727,multi:softmax,3,mlogloss,hist,42,-1,0
12,0.9685105398000283,0.9631861148892996,0.0007268421531540439,0.00041080730588325835,700,12,0.03676234280010345,0.7999999999999999,0.65,4,0.5,0.2,3.73561866556925,multi:softmax,3,mlogloss,hist,42,-1,0
0,0.9683449308378411,0.9616553931152643,0.000520601408132599,0.00045394016375858293,450,12,0.08741169448864673,0.8999999999999999,0.7000000000000001,2,0.0,1.3,3.027182927734624,multi:softmax,3,mlogloss,hist,42,-1,0
6,0.9678893619169271,0.9630675264233418,0.0006138057332343306,0.0004059426549662059,600,12,0.02390376751759948,0.75,0.65,4,0.4,0.4,5.986629236379359,multi:softmax,3,mlogloss,hist,42,-1,0
11,0.9678486066610983,0.9632370499239631,0.00040125257886418857,0.0007274895056512963,350,12,0.1153847570187844,0.75,0.8500000000000001,3,0.30000000000000004,0.6000000000000001,4.326752944803348,multi:softmax,3,mlogloss,hist,42,-1,0
1,0.9673116362955376,0.9652827325047242,0.0008240777014423692,0.0012033232973807043,650,4,0.1411758906434134,0.95,0.7000000000000001,2,0.2,0.4,2.408207265453542,multi:softmax,3,mlogloss,hist,42,-1,0
2,0.9673092185351971,0.9653440085012379,0.00041866442992904204,0.0008198735384354389,500,6,0.06861811172897295,0.7,0.75,4,0.5,1.2000000000000002,0.9093929525644108,multi:softmax,3,mlogloss,hist,42,-1,0
10,0.9672228754538202,0.9623688067678198,0.0004342987167543824,0.00031273964124384126,800,10,0.03717759406022728,1.0,0.8500000000000001,7,0.0,0.9,2.7622939390798193,multi:softmax,3,mlogloss,hist,42,-1,0
13,0.9671667138936128,0.9637310069233879,0.00031138281916794563,0.0005463076251976502,750,10,0.03894332625458822,0.8999999999999999,0.8,6,0.7000000000000001,0.9,3.578639917875565,multi:softmax,3,mlogloss,hist,42,-1,0
8,0.9666108970905726,0.9624440383483132,0.0002650295098072438,0.00010475569902363778,250,11,0.08309472904306507,0.95,0.9500000000000001,1,0.30000000000000004,0.1,6.635802485202448,multi:softmax,3,mlogloss,hist,42,-1,0
5,0.966089177383238,0.965511563639399,0.00047686478134007453,0.0008238532413025379,600,6,0.057032364235875585,0.85,0.7000000000000001,10,0.8,1.5,7.297384471483424,multi:softmax,3,mlogloss,hist,42,-1,0
3,0.9654172815010366,0.9643114908746727,0.0008894883147097784,0.0011217075962638963,550,9,0.021962256150304792,0.8999999999999999,0.7000000000000001,1,1.0,1.5,5.632733481673017,multi:softmax,3,mlogloss,hist,42,-1,0
7,0.9654164763369492,0.9653341295811605,0.00020314827270021457,0.0011942334106493768,450,6,0.059692850179916775,0.7,0.9500000000000001,1,1.0,1.2000000000000002,0.9067865433891701,multi:softmax,3,mlogloss,hist,42,-1,0
9,0.9627837593183456,0.9654668935446397,0.00014590910081724808,0.0012839008861352625,600,6,0.022732512887240954,0.7999999999999999,0.75,8,0.7000000000000001,1.4000000000000001,2.057480777345668,multi:softmax,3,mlogloss,hist,42,-1,0
4,0.9610187057235341,0.9672800940654617,0.00029990789189327015,0.0014330097438893588,400,4,0.07939182993606525,0.85,0.65,5,0.0,1.4000000000000001,1.085551727188307,multi:softmax,3,mlogloss,hist,42,-1,0
